mode,queries,recall_5,recall_10,recall_20,recall_30,precision_5,precision_10,hit_1,hit_3,hit_5,hit_10,mrr,ndcg_5,ndcg_10,avg_latency_ms,dense_ms,sparse_ms,fusion_ms,reranker_ms
dense,100,0.6075,0.63,0.6803333333333333,0.6803333333333333,0.30400000000000005,0.19400000000000003,0.56,0.61,0.62,0.64,0.5947914483177641,1.0271945298781144,1.1459312270851547,2460.422464001458,387.9656640079338,1247.8733120008837,0.17982299788855016,1186.208142990945
sparse,100,0.627,0.687,0.7178333333333333,0.7356666666666666,0.31200000000000006,0.226,0.54,0.62,0.64,0.7,0.5905465178096757,1.0193617690619432,1.2335846037612186,2460.422464001458,387.9656640079338,1247.8733120008837,0.17982299788855016,1186.208142990945
hybrid,100,0.615,0.63,0.6803333333333333,0.6803333333333333,0.382,0.282,0.58,0.61,0.62,0.64,0.6055776533408113,1.2204939540874806,1.4934169516432982,2460.422464001458,387.9656640079338,1247.8733120008837,0.17982299788855016,1186.208142990945
full,100,0.6136666666666667,0.6136666666666667,0.6136666666666667,0.6136666666666667,0.28600000000000003,0.14300000000000002,0.6,0.64,0.64,0.64,0.6183333333333334,1.0381864079256722,1.0381864079256722,2460.422464001458,387.9656640079338,1247.8733120008837,0.17982299788855016,1186.208142990945
