mode,queries,recall_5,recall_10,recall_20,recall_30,precision_5,precision_10,hit_1,hit_3,hit_5,hit_10,mrr,ndcg_5,ndcg_10,avg_latency_ms,dense_ms,sparse_ms,fusion_ms,reranker_ms
dense,100,0.6075,0.63,0.6803333333333333,0.6803333333333333,0.30400000000000005,0.19400000000000003,0.56,0.61,0.62,0.64,0.5947914483177641,1.0271945298781144,1.1459312270851547,2022.6921729987953,349.0831470047124,1202.7573100058362,0.13281200197525322,799.488108997466
sparse,100,0.627,0.687,0.7178333333333333,0.7178333333333333,0.31200000000000006,0.226,0.54,0.62,0.64,0.7,0.5901298511430091,1.0193617690619432,1.2335846037612186,2022.6921729987953,349.0831470047124,1202.7573100058362,0.13281200197525322,799.488108997466
hybrid,100,0.625,0.65,0.6803333333333333,0.6803333333333333,0.384,0.28400000000000003,0.58,0.62,0.63,0.66,0.6066541514041515,1.2246228940601547,1.500356435212874,2022.6921729987953,349.0831470047124,1202.7573100058362,0.13281200197525322,799.488108997466
full,100,0.6316666666666666,0.6316666666666666,0.6316666666666666,0.6316666666666666,0.28800000000000003,0.14400000000000002,0.61,0.65,0.65,0.65,0.6266666666666666,1.0510465452783269,1.0510465452783269,2022.6921729987953,349.0831470047124,1202.7573100058362,0.13281200197525322,799.488108997466
