mode,queries,recall_5,recall_10,recall_20,recall_30,precision_5,precision_10,hit_1,hit_3,hit_5,hit_10,mrr,ndcg_5,ndcg_10,avg_latency_ms,dense_ms,sparse_ms,fusion_ms,reranker_ms
dense,100,0.6075,0.63,0.6803333333333333,0.6803333333333333,0.30400000000000005,0.19400000000000003,0.56,0.61,0.62,0.64,0.5947914483177641,1.0271945298781144,1.1459312270851547,2387.79956199578,415.707265001256,1595.9520089928992,0.20455399877391756,751.626945999451
sparse,100,0.627,0.687,0.687,0.687,0.31200000000000006,0.226,0.54,0.62,0.64,0.7,0.5871944444444445,1.0193617690619432,1.2335846037612186,2387.79956199578,415.707265001256,1595.9520089928992,0.20455399877391756,751.626945999451
hybrid,100,0.667,0.6970000000000001,0.722,0.722,0.382,0.275,0.57,0.63,0.68,0.71,0.6137894327894329,1.2044490885982895,1.4590187997531268,2387.79956199578,415.707265001256,1595.9520089928992,0.20455399877391756,751.626945999451
full,100,0.67,0.722,0.722,0.722,0.398,0.292,0.61,0.65,0.68,0.74,0.6383452380952381,1.2634320575977016,1.5441473042510447,2387.79956199578,415.707265001256,1595.9520089928992,0.20455399877391756,751.626945999451
