mode,queries,recall_5,recall_10,recall_20,recall_30,precision_5,precision_10,hit_1,hit_3,hit_5,hit_10,mrr,ndcg_5,ndcg_10,avg_latency_ms,dense_ms,sparse_ms,fusion_ms,reranker_ms
dense,100,0.6075,0.63,0.6803333333333333,0.6990000000000001,0.30400000000000005,0.19400000000000003,0.56,0.61,0.62,0.64,0.5952081149844308,1.0271945298781144,1.1459312270851547,1835.0011769880075,335.97939500701614,1155.0467079970986,0.10064600384794176,662.2338680003304
sparse,100,0.627,0.687,0.687,0.687,0.31200000000000006,0.226,0.54,0.62,0.64,0.7,0.5871944444444445,1.0193617690619432,1.2335846037612186,1835.0011769880075,335.97939500701614,1155.0467079970986,0.10064600384794176,662.2338680003304
hybrid,100,0.625,0.66,0.6683333333333333,0.6683333333333333,0.384,0.285,0.58,0.6,0.63,0.67,0.6038257575757576,1.2223599502048454,1.5028922882620472,1835.0011769880075,335.97939500701614,1155.0467079970986,0.10064600384794176,662.2338680003304
full,100,0.6483333333333333,0.6683333333333333,0.6683333333333333,0.6683333333333333,0.392,0.287,0.6,0.62,0.67,0.69,0.6212619047619047,1.2420686934754372,1.5167696810340103,1835.0011769880075,335.97939500701614,1155.0467079970986,0.10064600384794176,662.2338680003304
