mode,queries,recall_5,recall_10,recall_20,recall_30,precision_5,precision_10,hit_1,hit_3,hit_5,hit_10,mrr,ndcg_5,ndcg_10,avg_latency_ms,dense_ms,sparse_ms,fusion_ms,reranker_ms
dense,100,0.6075,0.63,0.6803333333333333,0.6803333333333333,0.30400000000000005,0.19400000000000003,0.56,0.61,0.62,0.64,0.5947914483177641,1.0271945298781144,1.1459312270851547,524.1745470056776,349.0831470047124,1202.7573100058362,1.1014949914533645,521.9524709926918
sparse,100,0.627,0.687,0.7178333333333333,0.7178333333333333,0.31200000000000006,0.226,0.54,0.62,0.64,0.7,0.5901298511430091,1.0193617690619432,1.2335846037612186,524.1745470056776,349.0831470047124,1202.7573100058362,1.1014949914533645,521.9524709926918
hybrid,100,0.657,0.6920000000000001,0.722,0.722,0.38,0.276,0.58,0.64,0.67,0.71,0.6193730158730159,1.20609596933715,1.4645470555395752,524.1745470056776,349.0831470047124,1202.7573100058362,1.1014949914533645,521.9524709926918
full,100,0.66,0.66,0.66,0.66,0.392,0.196,0.6,0.66,0.67,0.67,0.6286666666666667,1.2504939540874807,1.2504939540874807,524.1745470056776,349.0831470047124,1202.7573100058362,1.1014949914533645,521.9524709926918
