mode,queries,recall_5,recall_10,recall_20,recall_30,precision_5,precision_10,hit_1,hit_3,hit_5,hit_10,mrr,ndcg_5,ndcg_10,avg_latency_ms,dense_ms,sparse_ms,fusion_ms,reranker_ms
dense,100,0.6075,0.63,0.6803333333333333,0.6803333333333333,0.30400000000000005,0.19400000000000003,0.56,0.61,0.62,0.64,0.5947914483177641,1.0271945298781144,1.1459312270851547,4280.828917996259,1259.4662799988873,1362.6444520044606,0.2880199975334108,1765.9239590005018
sparse,100,0.627,0.687,0.7178333333333333,0.7356666666666666,0.31200000000000006,0.226,0.54,0.62,0.64,0.7,0.5912826289207868,1.0193617690619432,1.2335846037612186,4280.828917996259,1259.4662799988873,1362.6444520044606,0.2880199975334108,1765.9239590005018
hybrid,100,0.615,0.65,0.6803333333333333,0.6803333333333333,0.382,0.285,0.58,0.61,0.62,0.66,0.6059732664995823,1.2204939540874806,1.5028799717341972,4280.828917996259,1259.4662799988873,1362.6444520044606,0.2880199975334108,1765.9239590005018
full,100,0.637,0.637,0.637,0.637,0.384,0.192,0.6,0.64,0.66,0.66,0.6233333333333334,1.227529674035025,1.227529674035025,4280.828917996259,1259.4662799988873,1362.6444520044606,0.2880199975334108,1765.9239590005018
