mode,queries,recall_5,recall_10,recall_20,recall_30,precision_5,precision_10,hit_1,hit_3,hit_5,hit_10,mrr,ndcg_5,ndcg_10,avg_latency_ms,dense_ms,sparse_ms,fusion_ms,reranker_ms
dense,100,0.6075,0.63,0.63,0.63,0.30400000000000005,0.19400000000000003,0.56,0.61,0.62,0.64,0.5900952380952381,1.0271945298781144,1.1459312270851547,1771.8774359941017,368.8529230095446,1263.7523759889882,0.20485299988649786,465.1465330028441
sparse,100,0.627,0.687,0.7178333333333333,0.7356666666666666,0.31200000000000006,0.226,0.54,0.62,0.64,0.7,0.5912826289207868,1.0193617690619432,1.2335846037612186,1771.8774359941017,368.8529230095446,1263.7523759889882,0.20485299988649786,465.1465330028441
hybrid,100,0.615,0.63,0.7353333333333333,0.7411666666666666,0.382,0.28,0.58,0.61,0.62,0.64,0.6094768554458957,1.2204939540874806,1.4877167609573865,1771.8774359941017,368.8529230095446,1263.7523759889882,0.20485299988649786,465.1465330028441
full,100,0.63,0.63,0.63,0.63,0.386,0.193,0.59,0.62,0.64,0.64,0.6045,1.225001767033745,1.225001767033745,1771.8774359941017,368.8529230095446,1263.7523759889882,0.20485299988649786,465.1465330028441
