mode,queries,recall_5,recall_10,recall_20,recall_30,precision_5,precision_10,hit_1,hit_3,hit_5,hit_10,mrr,ndcg_5,ndcg_10,avg_latency_ms,dense_ms,sparse_ms,fusion_ms,reranker_ms
dense,100,0.6075,0.63,0.6803333333333333,0.6990000000000001,0.30400000000000005,0.19400000000000003,0.56,0.61,0.62,0.64,0.5952081149844308,1.0271945298781144,1.1459312270851547,3157.1942730026785,689.6324770001229,2070.662759997649,1.1276820057537407,1014.2333229864016
sparse,100,0.627,0.687,0.7178333333333333,0.7356666666666666,0.31200000000000006,0.226,0.54,0.62,0.64,0.7,0.5912826289207868,1.0193617690619432,1.2335846037612186,3157.1942730026785,689.6324770001229,2070.662759997649,1.1276820057537407,1014.2333229864016
hybrid,100,0.615,0.6333333333333333,0.6633333333333333,0.6633333333333333,0.382,0.28400000000000003,0.59,0.61,0.62,0.65,0.6089491341991342,1.2228753590160515,1.5002194683621481,3157.1942730026785,689.6324770001229,2070.662759997649,1.1276820057537407,1014.2333229864016
full,100,0.6266666666666666,0.6266666666666666,0.6266666666666666,0.6266666666666666,0.28600000000000003,0.14300000000000002,0.6,0.64,0.64,0.64,0.6166666666666667,1.0429808093144994,1.0429808093144994,3157.1942730026785,689.6324770001229,2070.662759997649,1.1276820057537407,1014.2333229864016
