mode,queries,recall_5,recall_10,recall_20,recall_30,precision_5,precision_10,hit_1,hit_3,hit_5,hit_10,mrr,ndcg_5,ndcg_10,avg_latency_ms,dense_ms,sparse_ms,fusion_ms,reranker_ms
dense,100,0.6075,0.63,0.6803333333333333,0.6990000000000001,0.30400000000000005,0.19400000000000003,0.56,0.61,0.62,0.64,0.5952081149844308,1.0271945298781144,1.1459312270851547,667.8564620018005,335.97939500701614,1155.0467079970986,1.8080880003981292,664.2405890021473
sparse,100,0.627,0.687,0.687,0.687,0.31200000000000006,0.226,0.54,0.62,0.64,0.7,0.5871944444444445,1.0193617690619432,1.2335846037612186,667.8564620018005,335.97939500701614,1155.0467079970986,1.8080880003981292,664.2405890021473
hybrid,100,0.647,0.6970000000000001,0.7403333333333333,0.7403333333333333,0.37800000000000006,0.276,0.57,0.63,0.66,0.71,0.6149699883449883,1.196563399730295,1.4618193264983728,667.8564620018005,335.97939500701614,1155.0467079970986,1.8080880003981292,664.2405890021473
full,100,0.6316666666666666,0.6316666666666666,0.6316666666666666,0.6316666666666666,0.28800000000000003,0.14400000000000002,0.6,0.64,0.64,0.64,0.6133333333333334,1.0479214447797012,1.0479214447797012,667.8564620018005,335.97939500701614,1155.0467079970986,1.8080880003981292,664.2405890021473
