mode,queries,recall_5,recall_10,recall_20,recall_30,precision_5,precision_10,hit_1,hit_3,hit_5,hit_10,mrr,ndcg_5,ndcg_10,avg_latency_ms,dense_ms,sparse_ms,fusion_ms,reranker_ms
dense,100,0.6075,0.63,0.63,0.63,0.30400000000000005,0.19400000000000003,0.56,0.61,0.62,0.64,0.5900952380952381,1.0271945298781144,1.1459312270851547,3204.584861000767,417.7971790009178,1217.4990879942197,0.131548005156219,1100.6414360005874
sparse,100,0.627,0.687,0.687,0.687,0.31200000000000006,0.226,0.54,0.62,0.64,0.7,0.5871944444444445,1.0193617690619432,1.2335846037612186,3204.584861000767,417.7971790009178,1217.4990879942197,0.131548005156219,1100.6414360005874
hybrid,100,0.657,0.6970000000000001,0.722,0.722,0.38,0.275,0.57,0.63,0.67,0.71,0.6130672105672106,1.2001423230175554,1.4578419858224936,3204.584861000767,417.7971790009178,1217.4990879942197,0.131548005156219,1100.6414360005874
full,100,0.67,0.67,0.67,0.67,0.398,0.199,0.61,0.65,0.68,0.68,0.6298333333333334,1.2634320575977016,1.2634320575977016,3204.584861000767,417.7971790009178,1217.4990879942197,0.131548005156219,1100.6414360005874
