mode,queries,recall_5,recall_10,recall_20,recall_30,precision_5,precision_10,hit_1,hit_3,hit_5,hit_10,mrr,ndcg_5,ndcg_10,avg_latency_ms,dense_ms,sparse_ms,fusion_ms,reranker_ms
dense,100,0.6075,0.63,0.6803333333333333,0.6803333333333333,0.30400000000000005,0.19400000000000003,0.56,0.61,0.62,0.64,0.5947914483177641,1.0271945298781144,1.1459312270851547,1305.0043349980842,387.9656640079338,1247.8733120008837,2.3126359947491437,1299.9765999952797
sparse,100,0.627,0.687,0.7178333333333333,0.7356666666666666,0.31200000000000006,0.226,0.54,0.62,0.64,0.7,0.5905465178096757,1.0193617690619432,1.2335846037612186,1305.0043349980842,387.9656640079338,1247.8733120008837,2.3126359947491437,1299.9765999952797
hybrid,100,0.615,0.64,0.6803333333333333,0.6803333333333333,0.382,0.28300000000000003,0.59,0.61,0.62,0.65,0.6109066576698156,1.2241846565517662,1.5001174809687974,1305.0043349980842,387.9656640079338,1247.8733120008837,2.3126359947491437,1299.9765999952797
full,100,0.637,0.6703333333333333,0.6703333333333333,0.6703333333333333,0.384,0.29100000000000004,0.6,0.64,0.66,0.7,0.6293452380952381,1.227529674035025,1.5251681088864693,1305.0043349980842,387.9656640079338,1247.8733120008837,2.3126359947491437,1299.9765999952797
